sequence,symbol,name,start,end,strand,pct_identity,pct_cov
seq_62,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1493,2350,+,100.0,100.0
seq_62,tet(C),tetracycline efflux MFS transporter Tet(C),4372,4992,-,100.0,52.27
seq_63,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1637,2494,+,100.0,100.0
seq_63,tet(C),tetracycline efflux MFS transporter Tet(C),4516,5136,-,100.0,52.27
seq_64,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,2531,3388,-,100.0,100.0
seq_65,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1637,2494,+,100.0,100.0
seq_65,tet(C),tetracycline efflux MFS transporter Tet(C),4516,5136,-,100.0,52.27
seq_66,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1045,1902,+,100.0,100.0
seq_66,tet(C),tetracycline efflux MFS transporter Tet(C),3924,4544,-,100.0,52.27
seq_67,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1485,2297,-,100.0,100.0
seq_68,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,987,1844,+,100.0,100.0
seq_68,tet(C),tetracycline efflux MFS transporter Tet(C),3866,4486,-,100.0,52.27
seq_69,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1637,2494,+,100.0,100.0
seq_69,tet(C),tetracycline efflux MFS transporter Tet(C),4516,5136,-,100.0,52.27
seq_7,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1637,2494,+,100.0,100.0
seq_7,tet(C),tetracycline efflux MFS transporter Tet(C),4516,5136,-,100.0,52.27
seq_70,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1376,2233,+,100.0,100.0
seq_70,tet(C),tetracycline efflux MFS transporter Tet(C),4255,4875,-,100.0,52.27
seq_71,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1654,2511,+,100.0,100.0
seq_71,tet(C),tetracycline efflux MFS transporter Tet(C),4533,5153,-,100.0,52.27
seq_72,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1387,2244,+,100.0,100.0
seq_72,tet(C),tetracycline efflux MFS transporter Tet(C),4266,4886,-,100.0,52.27
seq_73,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1637,2494,+,100.0,100.0
seq_73,tet(C),tetracycline efflux MFS transporter Tet(C),4516,5136,-,100.0,52.27
seq_74,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1612,2469,+,100.0,100.0
seq_74,tet(C),tetracycline efflux MFS transporter Tet(C),4491,5111,-,100.0,52.27
seq_75,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1446,2303,+,100.0,100.0
seq_75,tet(C),tetracycline efflux MFS transporter Tet(C),4325,4945,-,100.0,52.27
seq_76,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,2417,3274,-,100.0,100.0
seq_77,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1640,2497,+,100.0,100.0
seq_77,tet(C),tetracycline efflux MFS transporter Tet(C),4519,5139,-,100.0,52.27
seq_78,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1523,2380,+,100.0,100.0
seq_78,tet(C),tetracycline efflux MFS transporter Tet(C),4402,5022,-,100.0,52.27
seq_8,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1055,1912,+,100.0,100.0
seq_8,tet(C),tetracycline efflux MFS transporter Tet(C),3934,4554,-,100.0,52.27
seq_80,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,964,1821,+,100.0,100.0
seq_80,tet(C),tetracycline efflux MFS transporter Tet(C),3843,4463,-,100.0,52.27
seq_81,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1650,2507,+,100.0,100.0
seq_81,tet(C),tetracycline efflux MFS transporter Tet(C),4529,5149,-,100.0,52.27
seq_83,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1646,2503,+,100.0,100.0
seq_83,tet(C),tetracycline efflux MFS transporter Tet(C),4525,5145,-,100.0,52.27
seq_84,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1765,2622,-,100.0,100.0
seq_85,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1446,2303,+,100.0,100.0
seq_85,tet(C),tetracycline efflux MFS transporter Tet(C),4325,4945,-,100.0,52.27
seq_86,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,843,1700,+,100.0,100.0
seq_86,tet(C),tetracycline efflux MFS transporter Tet(C),3722,4342,-,100.0,52.27
seq_87,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1465,2322,+,100.0,100.0
seq_87,tet(C),tetracycline efflux MFS transporter Tet(C),4344,4964,-,100.0,52.27
seq_88,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,981,1838,+,100.0,100.0
seq_88,tet(C),tetracycline efflux MFS transporter Tet(C),3860,4480,-,100.0,52.27
seq_89,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1637,2494,+,100.0,100.0
seq_89,tet(C),tetracycline efflux MFS transporter Tet(C),4516,5136,-,100.0,52.27
seq_9,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1637,2494,+,100.0,100.0
seq_9,tet(C),tetracycline efflux MFS transporter Tet(C),4516,5136,-,100.0,52.27
seq_90,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,958,1815,+,100.0,100.0
seq_90,tet(C),tetracycline efflux MFS transporter Tet(C),3837,4457,-,100.0,52.27
seq_91,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1458,2315,+,100.0,100.0
seq_91,tet(C),tetracycline efflux MFS transporter Tet(C),4337,4957,-,100.0,52.27
seq_92,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1084,1941,+,100.0,100.0
seq_92,tet(C),tetracycline efflux MFS transporter Tet(C),3963,4583,-,100.0,52.27
seq_93,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1637,2494,+,100.0,100.0
seq_93,tet(C),tetracycline efflux MFS transporter Tet(C),4516,5136,-,100.0,52.27
seq_94,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1655,2512,+,100.0,100.0
seq_94,tet(C),tetracycline efflux MFS transporter Tet(C),4534,5154,-,100.0,52.27
seq_95,blaTEM,TEM family class A beta-lactamase,1534,2085,+,98.91,64.34
seq_95,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,2746,3603,+,100.0,100.0
seq_95,tet(C),tetracycline efflux MFS transporter Tet(C),5625,6245,-,100.0,52.27
seq_96,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1089,1901,-,100.0,100.0
seq_97,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1446,2303,+,100.0,100.0
seq_97,tet(C),tetracycline efflux MFS transporter Tet(C),4325,4945,-,100.0,52.27
seq_98,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1734,2591,+,100.0,100.0
seq_98,tet(C),tetracycline efflux MFS transporter Tet(C),4613,5233,-,100.0,52.27
seq_99,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1446,2303,+,100.0,100.0
seq_99,tet(C),tetracycline efflux MFS transporter Tet(C),4325,4945,-,100.0,52.27
