query_id	query_length	subject_id	subject_title	subject_length	align_length	identities	pct_identity	query_coverage	subject_coverage	evalue	bitscore
Base_seq_3	5655	gi|1142720250|emb|LT726875.1|	gi|1142720250|emb|LT726875.1| Vector pEntry-attR2-IRES-eGFP-luc+-pA-attL3, complete sequence	6273	80	79	98.75	1.41	1.28	4.22623e-28	143.312
Base_seq_3	5655	gi|1822133649|gb|MN294717.1|	gi|1822133649|gb|MN294717.1| Cloning vector 5-PLTP:ODP2:OS-T28, complete sequence	6727	2358	2354	99.83	41.7	35.05	0.0	4333.36
Base_seq_3	5655	gi|1822133649|gb|MN294717.1|	gi|1822133649|gb|MN294717.1| Cloning vector 5-PLTP:ODP2:OS-T28, complete sequence	6727	182	181	99.45	3.22	2.71	8.40361e-85	331.671
Base_seq_3	5655	gi|1822133649|gb|MN294717.1|	gi|1822133649|gb|MN294717.1| Cloning vector 5-PLTP:ODP2:OS-T28, complete sequence	6727	95	91	95.79	1.68	1.41	1.95241e-31	154.392
Base_seq_3	5655	gi|1822133649|gb|MN294717.1|	gi|1822133649|gb|MN294717.1| Cloning vector 5-PLTP:ODP2:OS-T28, complete sequence	6727	98	93	94.9	1.73	1.46	1.95241e-31	154.392
Base_seq_3	5655	gi|1822133649|gb|MN294717.1|	gi|1822133649|gb|MN294717.1| Cloning vector 5-PLTP:ODP2:OS-T28, complete sequence	6727	80	79	98.75	1.41	1.19	4.22623e-28	143.312
Base_seq_5	9996	gi|1916744587|gb|MT882253.1|	gi|1916744587|gb|MT882253.1| Cloning vector pMM7-6-1, complete sequence	13628	4141	4137	99.9	41.43	30.39	0.0	7624.09
Base_seq_5	9996	gi|1916744587|gb|MT882253.1|	gi|1916744587|gb|MT882253.1| Cloning vector pMM7-6-1, complete sequence	13628	1105	1105	100.0	11.05	8.11	0.0	2041.67
Base_seq_5	9996	gi|1916744587|gb|MT882253.1|	gi|1916744587|gb|MT882253.1| Cloning vector pMM7-6-1, complete sequence	13628	875	861	98.4	8.75	6.42	0.0	1526.45
Base_seq_5	9996	gi|1916744587|gb|MT882253.1|	gi|1916744587|gb|MT882253.1| Cloning vector pMM7-6-1, complete sequence	13628	262	261	99.62	2.62	1.92	5.02711e-129	479.403
Base_seq_5	9996	gi|1916744587|gb|MT882253.1|	gi|1916744587|gb|MT882253.1| Cloning vector pMM7-6-1, complete sequence	13628	645	505	78.29	6.45	4.73	2.45763e-92	357.524
Base_seq_5	9996	gi|1916744587|gb|MT882253.1|	gi|1916744587|gb|MT882253.1| Cloning vector pMM7-6-1, complete sequence	13628	61	60	98.36	0.61	0.45	9.82878e-17	106.379
Base_seq_5	9996	gi|1238822736|gb|KX981581.1|	gi|1238822736|gb|KX981581.1| Vector pMM1-34Y, complete sequence	9931	4141	4135	99.86	41.43	41.7	0.0	7613.01
Base_seq_5	9996	gi|1238822736|gb|KX981581.1|	gi|1238822736|gb|KX981581.1| Vector pMM1-34Y, complete sequence	9931	689	687	99.71	6.89	6.94	0.0	1262.38
Base_seq_5	9996	gi|1238822736|gb|KX981581.1|	gi|1238822736|gb|KX981581.1| Vector pMM1-34Y, complete sequence	9931	687	685	99.71	6.87	6.92	0.0	1258.69
Base_seq_5	9996	gi|1238822736|gb|KX981581.1|	gi|1238822736|gb|KX981581.1| Vector pMM1-34Y, complete sequence	9931	223	222	99.55	2.23	2.25	2.40602e-107	407.383
Base_seq_5	9996	gi|1238822736|gb|KX981581.1|	gi|1238822736|gb|KX981581.1| Vector pMM1-34Y, complete sequence	9931	645	505	78.29	6.45	6.49	2.45763e-92	357.524
Base_seq_5	9996	gi|1238822736|gb|KX981581.1|	gi|1238822736|gb|KX981581.1| Vector pMM1-34Y, complete sequence	9931	183	181	98.91	1.83	1.84	1.92694e-83	327.977
Base_seq_5	9996	gi|1238822736|gb|KX981581.1|	gi|1238822736|gb|KX981581.1| Vector pMM1-34Y, complete sequence	9931	105	102	97.14	1.05	1.06	7.38611e-38	176.552
Base_seq_5	9996	gi|1238822736|gb|KX981581.1|	gi|1238822736|gb|KX981581.1| Vector pMM1-34Y, complete sequence	9931	37	37	100.0	0.37	0.37	1.28955e-05	69.4463
Base_seq_5	9996	gi|1238822736|gb|KX981581.1|	gi|1238822736|gb|KX981581.1| Vector pMM1-34Y, complete sequence	9931	28	28	100.0	0.28	0.28	1.29871	52.8265
Base_seq_5	9996	gi|1238822732|gb|KX981580.1|	gi|1238822732|gb|KX981580.1| Vector pMM1-33Y, complete sequence	9218	4141	4135	99.86	41.43	44.92	0.0	7613.01
Base_seq_5	9996	gi|1238822732|gb|KX981580.1|	gi|1238822732|gb|KX981580.1| Vector pMM1-33Y, complete sequence	9218	817	803	98.29	8.17	8.86	0.0	1419.35
Base_seq_5	9996	gi|1238822732|gb|KX981580.1|	gi|1238822732|gb|KX981580.1| Vector pMM1-33Y, complete sequence	9218	727	727	100.0	7.27	7.89	0.0	1343.63
Base_seq_5	9996	gi|1238822732|gb|KX981580.1|	gi|1238822732|gb|KX981580.1| Vector pMM1-33Y, complete sequence	9218	262	261	99.62	2.62	2.84	5.02711e-129	479.403
Base_seq_5	9996	gi|1238822732|gb|KX981580.1|	gi|1238822732|gb|KX981580.1| Vector pMM1-33Y, complete sequence	9218	645	505	78.29	6.45	7.0	2.45763e-92	357.524
Base_seq_5	9996	gi|1238822732|gb|KX981580.1|	gi|1238822732|gb|KX981580.1| Vector pMM1-33Y, complete sequence	9218	67	67	100.0	0.67	0.73	2.7135e-22	124.846
Base_seq_5	9996	gi|1238822732|gb|KX981580.1|	gi|1238822732|gb|KX981580.1| Vector pMM1-33Y, complete sequence	9218	62	62	100.0	0.62	0.67	1.63311e-19	115.613
Base_seq_5	9996	gi|1238822761|gb|KX981587.1|	gi|1238822761|gb|KX981587.1| Vector pMM2-20-1, complete sequence	9656	4141	4135	99.86	41.43	42.89	0.0	7613.01
Base_seq_5	9996	gi|1238822761|gb|KX981587.1|	gi|1238822761|gb|KX981587.1| Vector pMM2-20-1, complete sequence	9656	817	803	98.29	8.17	8.46	0.0	1419.35
Base_seq_5	9996	gi|1238822761|gb|KX981587.1|	gi|1238822761|gb|KX981587.1| Vector pMM2-20-1, complete sequence	9656	727	727	100.0	7.27	7.53	0.0	1343.63
Base_seq_5	9996	gi|1238822761|gb|KX981587.1|	gi|1238822761|gb|KX981587.1| Vector pMM2-20-1, complete sequence	9656	262	261	99.62	2.62	2.71	5.02711e-129	479.403
Base_seq_5	9996	gi|1238822761|gb|KX981587.1|	gi|1238822761|gb|KX981587.1| Vector pMM2-20-1, complete sequence	9656	645	505	78.29	6.45	6.68	2.45763e-92	357.524
Base_seq_5	9996	gi|1238822761|gb|KX981587.1|	gi|1238822761|gb|KX981587.1| Vector pMM2-20-1, complete sequence	9656	67	67	100.0	0.67	0.69	2.7135e-22	124.846
Base_seq_5	9996	gi|1238822761|gb|KX981587.1|	gi|1238822761|gb|KX981587.1| Vector pMM2-20-1, complete sequence	9656	62	62	100.0	0.62	0.64	1.63311e-19	115.613
Base_seq_5	9996	gi|2912141371|gb|PQ816245.1|	gi|2912141371|gb|PQ816245.1| Cloning vector pURA3-CRISPR, complete sequence	9960	4140	4133	99.83	41.42	41.57	0.0	7607.47
Base_seq_5	9996	gi|2912141371|gb|PQ816245.1|	gi|2912141371|gb|PQ816245.1| Cloning vector pURA3-CRISPR, complete sequence	9960	1104	1101	99.73	11.04	11.08	0.0	2023.2
Base_seq_5	9996	gi|2912141371|gb|PQ816245.1|	gi|2912141371|gb|PQ816245.1| Cloning vector pURA3-CRISPR, complete sequence	9960	875	860	98.29	8.75	8.79	0.0	1520.91
Base_seq_5	9996	gi|2912141371|gb|PQ816245.1|	gi|2912141371|gb|PQ816245.1| Cloning vector pURA3-CRISPR, complete sequence	9960	259	259	100.0	2.59	2.6	5.02711e-129	479.403
Base_seq_5	9996	gi|2912141371|gb|PQ816245.1|	gi|2912141371|gb|PQ816245.1| Cloning vector pURA3-CRISPR, complete sequence	9960	645	506	78.45	6.45	6.48	5.28233e-94	363.064
Base_seq_5	9996	gi|2912141371|gb|PQ816245.1|	gi|2912141371|gb|PQ816245.1| Cloning vector pURA3-CRISPR, complete sequence	9960	69	69	100.0	0.69	0.69	2.09767e-23	128.539
Base_seq_5	9996	gi|2912141371|gb|PQ816245.1|	gi|2912141371|gb|PQ816245.1| Cloning vector pURA3-CRISPR, complete sequence	9960	56	56	100.0	0.56	0.56	3.53506e-16	104.533
Base_seq_5	9996	gi|2912141371|gb|PQ816245.1|	gi|2912141371|gb|PQ816245.1| Cloning vector pURA3-CRISPR, complete sequence	9960	33	32	96.97	0.33	0.33	0.361089	54.6731
Base_seq_7	3329	gi|1142722600|emb|LT727454.1|	gi|1142722600|emb|LT727454.1| Reporter vector pIgK3conaLUC, complete sequence	6308	1282	1282	100.0	38.51	20.32	0.0	2368.53
Base_seq_7	3329	gi|1142722127|emb|LT727339.1|	gi|1142722127|emb|LT727339.1| Reporter vector pBIC, complete sequence	6479	1282	1282	100.0	38.51	19.79	0.0	2368.53
Base_seq_7	3329	gi|27650340|emb|X65324.2|	gi|27650340|emb|X65324.2| Cloning vector pGL2-Control	6047	1282	1282	100.0	38.51	21.2	0.0	2368.53
Base_seq_7	3329	gi|27650342|emb|X65326.2|	gi|27650342|emb|X65326.2| Cloning vector pGL2-Promoter	5790	1282	1282	100.0	38.51	22.14	0.0	2368.53
Base_seq_7	3329	gi|16904182|gb|AF434933.1|	gi|16904182|gb|AF434933.1| Expression vector 411-REV, complete sequence	7634	1282	1282	100.0	38.51	16.79	0.0	2368.53
Base_seq_8	7815	gi|478434502|gb|KC537291.1|	gi|478434502|gb|KC537291.1| Cloning vector pG-Sable, complete sequence	4785	3015	3013	99.93	38.58	63.01	0.0	5557.69
Base_seq_8	7815	gi|478434502|gb|KC537291.1|	gi|478434502|gb|KC537291.1| Cloning vector pG-Sable, complete sequence	4785	708	708	100.0	9.06	14.8	0.0	1308.55
Base_seq_8	7815	gi|478434502|gb|KC537291.1|	gi|478434502|gb|KC537291.1| Cloning vector pG-Sable, complete sequence	4785	534	516	96.63	6.83	11.16	0.0	874.586
Base_seq_8	7815	gi|478434502|gb|KC537291.1|	gi|478434502|gb|KC537291.1| Cloning vector pG-Sable, complete sequence	4785	64	63	98.44	0.82	1.34	4.58699e-19	113.766
Base_seq_8	7815	gi|478434502|gb|KC537291.1|	gi|478434502|gb|KC537291.1| Cloning vector pG-Sable, complete sequence	4785	55	55	100.0	0.7	1.15	9.92908e-16	102.686
Base_seq_8	7815	gi|478434502|gb|KC537291.1|	gi|478434502|gb|KC537291.1| Cloning vector pG-Sable, complete sequence	4785	45	45	100.0	0.58	0.94	3.59649e-10	84.2195
Base_seq_8	7815	gi|3024674339|gb|PV932842.1|	gi|3024674339|gb|PV932842.1| Cloning vector pAX1-Gm-GW, complete sequence	7116	2998	2992	99.8	38.36	42.13	0.0	5500.44
Base_seq_8	7815	gi|3024674339|gb|PV932842.1|	gi|3024674339|gb|PV932842.1| Cloning vector pAX1-Gm-GW, complete sequence	7116	708	708	100.0	9.06	9.95	0.0	1308.55
Base_seq_8	7815	gi|3024674339|gb|PV932842.1|	gi|3024674339|gb|PV932842.1| Cloning vector pAX1-Gm-GW, complete sequence	7116	534	516	96.63	6.83	7.5	0.0	874.586
Base_seq_8	7815	gi|3024674339|gb|PV932842.1|	gi|3024674339|gb|PV932842.1| Cloning vector pAX1-Gm-GW, complete sequence	7116	64	63	98.44	0.82	0.9	4.58699e-19	113.766
Base_seq_8	7815	gi|3024674339|gb|PV932842.1|	gi|3024674339|gb|PV932842.1| Cloning vector pAX1-Gm-GW, complete sequence	7116	55	55	100.0	0.7	0.77	9.92908e-16	102.686
Base_seq_8	7815	gi|3024674339|gb|PV932842.1|	gi|3024674339|gb|PV932842.1| Cloning vector pAX1-Gm-GW, complete sequence	7116	62	58	93.55	0.79	0.87	2.14927e-12	91.6061
Base_seq_8	7815	gi|3024674339|gb|PV932842.1|	gi|3024674339|gb|PV932842.1| Cloning vector pAX1-Gm-GW, complete sequence	7116	45	45	100.0	0.58	0.63	3.59649e-10	84.2195
Base_seq_8	7815	gi|156106789|gb|EF565882.1|	gi|156106789|gb|EF565882.1| Plant expression vector pDuExAn1, complete sequence	7306	2983	2981	99.93	38.17	40.83	0.0	5498.6
Base_seq_8	7815	gi|156106789|gb|EF565882.1|	gi|156106789|gb|EF565882.1| Plant expression vector pDuExAn1, complete sequence	7306	708	708	100.0	9.06	9.69	0.0	1308.55
Base_seq_8	7815	gi|156106789|gb|EF565882.1|	gi|156106789|gb|EF565882.1| Plant expression vector pDuExAn1, complete sequence	7306	534	516	96.63	6.83	7.31	0.0	874.586
Base_seq_8	7815	gi|156106789|gb|EF565882.1|	gi|156106789|gb|EF565882.1| Plant expression vector pDuExAn1, complete sequence	7306	157	157	100.0	2.01	2.15	1.97434e-72	291.044
Base_seq_8	7815	gi|156106789|gb|EF565882.1|	gi|156106789|gb|EF565882.1| Plant expression vector pDuExAn1, complete sequence	7306	157	156	99.36	2.01	2.15	9.1857e-71	285.504
Base_seq_8	7815	gi|156106789|gb|EF565882.1|	gi|156106789|gb|EF565882.1| Plant expression vector pDuExAn1, complete sequence	7306	64	63	98.44	0.82	0.88	4.58699e-19	113.766
Base_seq_8	7815	gi|156106789|gb|EF565882.1|	gi|156106789|gb|EF565882.1| Plant expression vector pDuExAn1, complete sequence	7306	55	55	100.0	0.7	0.75	9.92908e-16	102.686
Base_seq_8	7815	gi|156106789|gb|EF565882.1|	gi|156106789|gb|EF565882.1| Plant expression vector pDuExAn1, complete sequence	7306	55	55	100.0	0.7	0.75	9.92908e-16	102.686
Base_seq_8	7815	gi|156106789|gb|EF565882.1|	gi|156106789|gb|EF565882.1| Plant expression vector pDuExAn1, complete sequence	7306	52	52	100.0	0.67	0.71	4.61955e-14	97.1461
Base_seq_8	7815	gi|156106789|gb|EF565882.1|	gi|156106789|gb|EF565882.1| Plant expression vector pDuExAn1, complete sequence	7306	61	58	95.08	0.78	0.83	1.66149e-13	95.2994
Base_seq_8	7815	gi|156106789|gb|EF565882.1|	gi|156106789|gb|EF565882.1| Plant expression vector pDuExAn1, complete sequence	7306	45	45	100.0	0.58	0.62	3.59649e-10	84.2195
Base_seq_8	7815	gi|156106794|gb|EF565883.1|	gi|156106794|gb|EF565883.1| Plant expression vector pDuExP (pDuExAn6), complete sequence	7315	2983	2981	99.93	38.17	40.78	0.0	5498.6
Base_seq_8	7815	gi|156106794|gb|EF565883.1|	gi|156106794|gb|EF565883.1| Plant expression vector pDuExP (pDuExAn6), complete sequence	7315	708	708	100.0	9.06	9.68	0.0	1308.55
Base_seq_8	7815	gi|156106794|gb|EF565883.1|	gi|156106794|gb|EF565883.1| Plant expression vector pDuExP (pDuExAn6), complete sequence	7315	534	516	96.63	6.83	7.3	0.0	874.586
Base_seq_8	7815	gi|156106794|gb|EF565883.1|	gi|156106794|gb|EF565883.1| Plant expression vector pDuExP (pDuExAn6), complete sequence	7315	157	157	100.0	2.01	2.15	1.97434e-72	291.044
Base_seq_8	7815	gi|156106794|gb|EF565883.1|	gi|156106794|gb|EF565883.1| Plant expression vector pDuExP (pDuExAn6), complete sequence	7315	157	156	99.36	2.01	2.15	9.1857e-71	285.504
Base_seq_8	7815	gi|156106794|gb|EF565883.1|	gi|156106794|gb|EF565883.1| Plant expression vector pDuExP (pDuExAn6), complete sequence	7315	64	63	98.44	0.82	0.87	4.58699e-19	113.766
Base_seq_8	7815	gi|156106794|gb|EF565883.1|	gi|156106794|gb|EF565883.1| Plant expression vector pDuExP (pDuExAn6), complete sequence	7315	55	55	100.0	0.7	0.75	9.92908e-16	102.686
Base_seq_8	7815	gi|156106794|gb|EF565883.1|	gi|156106794|gb|EF565883.1| Plant expression vector pDuExP (pDuExAn6), complete sequence	7315	55	55	100.0	0.7	0.75	9.92908e-16	102.686
Base_seq_8	7815	gi|156106794|gb|EF565883.1|	gi|156106794|gb|EF565883.1| Plant expression vector pDuExP (pDuExAn6), complete sequence	7315	52	52	100.0	0.67	0.71	4.61955e-14	97.1461
Base_seq_8	7815	gi|156106794|gb|EF565883.1|	gi|156106794|gb|EF565883.1| Plant expression vector pDuExP (pDuExAn6), complete sequence	7315	61	58	95.08	0.78	0.83	1.66149e-13	95.2994
Base_seq_8	7815	gi|156106794|gb|EF565883.1|	gi|156106794|gb|EF565883.1| Plant expression vector pDuExP (pDuExAn6), complete sequence	7315	45	45	100.0	0.58	0.62	3.59649e-10	84.2195
Base_seq_8	7815	gi|288187149|gb|GU370778.1|	gi|288187149|gb|GU370778.1| Cloning vector pDuExAc6, complete sequence	7271	2983	2981	99.93	38.17	41.03	0.0	5498.6
Base_seq_8	7815	gi|288187149|gb|GU370778.1|	gi|288187149|gb|GU370778.1| Cloning vector pDuExAc6, complete sequence	7271	708	708	100.0	9.06	9.74	0.0	1308.55
Base_seq_8	7815	gi|288187149|gb|GU370778.1|	gi|288187149|gb|GU370778.1| Cloning vector pDuExAc6, complete sequence	7271	534	516	96.63	6.83	7.34	0.0	874.586
Base_seq_8	7815	gi|288187149|gb|GU370778.1|	gi|288187149|gb|GU370778.1| Cloning vector pDuExAc6, complete sequence	7271	157	157	100.0	2.01	2.16	1.97434e-72	291.044
Base_seq_8	7815	gi|288187149|gb|GU370778.1|	gi|288187149|gb|GU370778.1| Cloning vector pDuExAc6, complete sequence	7271	157	156	99.36	2.01	2.16	9.1857e-71	285.504
Base_seq_8	7815	gi|288187149|gb|GU370778.1|	gi|288187149|gb|GU370778.1| Cloning vector pDuExAc6, complete sequence	7271	64	63	98.44	0.82	0.88	4.58699e-19	113.766
Base_seq_8	7815	gi|288187149|gb|GU370778.1|	gi|288187149|gb|GU370778.1| Cloning vector pDuExAc6, complete sequence	7271	55	55	100.0	0.7	0.76	9.92908e-16	102.686
Base_seq_8	7815	gi|288187149|gb|GU370778.1|	gi|288187149|gb|GU370778.1| Cloning vector pDuExAc6, complete sequence	7271	55	55	100.0	0.7	0.76	9.92908e-16	102.686
Base_seq_8	7815	gi|288187149|gb|GU370778.1|	gi|288187149|gb|GU370778.1| Cloning vector pDuExAc6, complete sequence	7271	52	52	100.0	0.67	0.72	4.61955e-14	97.1461
Base_seq_8	7815	gi|288187149|gb|GU370778.1|	gi|288187149|gb|GU370778.1| Cloning vector pDuExAc6, complete sequence	7271	61	58	95.08	0.78	0.84	1.66149e-13	95.2994
Base_seq_8	7815	gi|288187149|gb|GU370778.1|	gi|288187149|gb|GU370778.1| Cloning vector pDuExAc6, complete sequence	7271	45	45	100.0	0.58	0.62	3.59649e-10	84.2195
Base_seq_9	5268	gi|20799699|gb|AF504908.1|	gi|20799699|gb|AF504908.1| Cloning vector pBBRT, complete sequence	5973	999	997	99.8	18.96	16.73	0.0	1834.84
Base_seq_9	5268	gi|20799699|gb|AF504908.1|	gi|20799699|gb|AF504908.1| Cloning vector pBBRT, complete sequence	5973	191	185	96.86	3.63	3.2	2.19095e-80	316.897
Base_seq_9	5268	gi|20799699|gb|AF504908.1|	gi|20799699|gb|AF504908.1| Cloning vector pBBRT, complete sequence	5973	117	117	100.0	2.22	1.96	2.28595e-50	217.178
Base_seq_9	5268	gi|20799699|gb|AF504908.1|	gi|20799699|gb|AF504908.1| Cloning vector pBBRT, complete sequence	5973	32	32	100.0	0.61	0.54	0.00407668	60.2131
Base_seq_9	5268	gi|2459470492|gb|CP119419.1|	gi|2459470492|gb|CP119419.1| Agrobacterium fabrum strain A8196 plasmid pTiA8196, complete sequence	184420	1003	1000	99.7	19.04	0.54	0.0	1834.84
Base_seq_9	5268	gi|2459470492|gb|CP119419.1|	gi|2459470492|gb|CP119419.1| Agrobacterium fabrum strain A8196 plasmid pTiA8196, complete sequence	184420	386	386	100.0	7.33	0.21	0.0	713.927
Base_seq_9	5268	gi|2459470492|gb|CP119419.1|	gi|2459470492|gb|CP119419.1| Agrobacterium fabrum strain A8196 plasmid pTiA8196, complete sequence	184420	196	195	99.49	3.72	0.11	1.29092e-92	357.524
Base_seq_9	5268	gi|2459470492|gb|CP119419.1|	gi|2459470492|gb|CP119419.1| Agrobacterium fabrum strain A8196 plasmid pTiA8196, complete sequence	184420	159	159	100.0	3.02	0.09	1.02659e-73	294.738
Base_seq_9	5268	gi|2463313864|dbj|AP027422.1|	gi|2463313864|dbj|AP027422.1| Escherichia coli EC261 plasmid pEC261_1 DNA, complete sequence	249953	992	992	100.0	18.83	0.4	0.0	1833.0
Base_seq_9	5268	gi|3031318358|gb|PV031344.1|	gi|3031318358|gb|PV031344.1| Vector pHA-streptagII-3C-NIS-EABR, complete sequence	7716	992	992	100.0	18.83	12.86	0.0	1833.0
Base_seq_9	5268	gi|3031318358|gb|PV031344.1|	gi|3031318358|gb|PV031344.1| Vector pHA-streptagII-3C-NIS-EABR, complete sequence	7716	386	386	100.0	7.33	5.0	0.0	713.927
Base_seq_9	5268	gi|3031318358|gb|PV031344.1|	gi|3031318358|gb|PV031344.1| Vector pHA-streptagII-3C-NIS-EABR, complete sequence	7716	196	195	99.49	3.72	2.54	1.29092e-92	357.524
Base_seq_9	5268	gi|3038019905|gb|PX095315.1|	gi|3038019905|gb|PX095315.1| Synthetic construct pTS002-ARC, complete sequence	8300	992	992	100.0	18.83	11.95	0.0	1833.0
