Plasmid_ID,reason failed
seq_49,"ORI low-threshold count 0 outside [1,1]; repeat ≥ 50"
seq_5,"ORI low-threshold count 0 outside [1,1]"
seq_50,No ORI; No ARG
seq_51,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_52,No ORI; No ARG
seq_53,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 5 outside [1,1]; repeat ≥ 50"
seq_54,"ORI low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_55,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 2 outside [1,1]"
seq_56,"ARG low-threshold count 2 outside [1,1]"
seq_57,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 8 outside [1,1]; repeat ≥ 50"
seq_58,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_59,"ORI low-threshold count 0 outside [1,1]; ARG low-threshold count 0 outside [1,1]"
seq_60,"ARG low-threshold count 0 outside [1,1]"
seq_61,No ORI; No ARG
seq_62,No ORI; No ARG
seq_63,repeat ≥ 50
seq_64,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_65,"ORI low-threshold count 0 outside [1,1]; ARG low-threshold count 0 outside [1,1]; repeat ≥ 50"
seq_67,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_68,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_69,"ORI low-threshold count 4 outside [1,1]; ARG low-threshold count 5 outside [1,1]; repeat ≥ 50"
seq_7,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_70,No ORI; No ARG
seq_71,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_72,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_73,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_74,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_75,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_76,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_77,"ARG low-threshold count 0 outside [1,1]"
seq_78,repeat ≥ 50
seq_8,No ORI; No ARG
seq_80,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_81,"ARG low-threshold count 0 outside [1,1]"
seq_82,No ORI; No ARG
seq_83,No ORI; No ARG
seq_84,No ORI; No ARG
seq_85,repeat ≥ 50
seq_86,"ORI low-threshold count 0 outside [1,1]"
seq_87,"ARG low-threshold count 0 outside [1,1]"
seq_89,"ORI low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_9,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_90,No ORI; No ARG
seq_91,"ORI low-threshold count 2 outside [1,1]"
seq_92,No ORI; No ARG
seq_93,"ARG low-threshold count 0 outside [1,1]"
seq_94,No ORI; No ARG
seq_95,No ORI; No ARG
seq_96,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_97,No ORI; No ARG; repeat ≥ 50
seq_98,repeat ≥ 50
seq_99,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
