sequence,symbol,name,start,end,strand,pct_identity,pct_cov
seq_51,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,4376,5233,+,100.0,100.0
seq_51,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,9729,10586,+,100.0,100.0
seq_53,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,2016,2828,-,100.0,100.0
seq_53,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2986,3843,-,100.0,100.0
seq_53,catA1,type A-1 chloramphenicol O-acetyltransferase,4381,5037,+,100.0,100.0
seq_53,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,7079,7891,-,100.0,100.0
seq_53,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,8049,8906,-,100.0,100.0
seq_54,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,4869,5726,-,100.0,100.0
seq_55,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,2086,2898,-,100.0,100.0
seq_55,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,6075,6932,-,100.0,100.0
seq_56,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,988,1845,+,100.0,100.0
seq_56,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,4700,5503,+,99.26,99.63
seq_57,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,2164,2976,-,100.0,100.0
seq_57,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,3134,3991,-,100.0,100.0
seq_57,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,6206,7018,-,100.0,100.0
seq_57,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,7176,8033,-,100.0,100.0
seq_57,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,10369,11181,-,100.0,100.0
seq_57,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,11339,12196,-,100.0,100.0
seq_57,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,13697,14509,-,100.0,100.0
seq_57,blaTEM,TEM family class A beta-lactamase,14667,15392,-,100.0,84.62
seq_58,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2861,3718,+,100.0,100.0
seq_58,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,4789,5646,+,100.0,100.0
seq_59,aph(4)-Ia,aminoglycoside O-phosphotransferase APH(4)-Ia,975,1751,-,100.0,75.95
seq_6,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1872,2729,-,100.0,100.0
seq_63,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,2876,3733,+,100.0,100.0
seq_64,catA1,type A-1 chloramphenicol O-acetyltransferase,354,1010,-,100.0,100.0
seq_64,catA1,type A-1 chloramphenicol O-acetyltransferase,2740,3396,-,100.0,100.0
seq_64,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,5410,6267,-,100.0,100.0
seq_65,aph(4)-Ia,aminoglycoside O-phosphotransferase APH(4)-Ia,975,1748,-,100.0,75.66
seq_66,blaTEM-171,class A beta-lactamase TEM-171,1314,2171,+,100.0,100.0
seq_67,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1887,2744,-,100.0,100.0
seq_67,catA1,type A-1 chloramphenicol O-acetyltransferase,5007,5663,-,100.0,100.0
seq_67,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,9080,9871,-,100.0,100.0
seq_68,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,4534,5391,-,100.0,100.0
seq_68,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,11428,12285,-,100.0,100.0
seq_69,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,2033,2824,-,100.0,100.0
seq_69,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,5021,5812,-,100.0,100.0
seq_69,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,8009,8800,-,100.0,100.0
seq_69,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,11058,11870,-,100.0,100.0
seq_69,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,12028,12885,-,100.0,100.0
seq_7,catA1,type A-1 chloramphenicol O-acetyltransferase,2052,2708,-,100.0,100.0
seq_7,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,4901,5758,-,100.0,100.0
seq_7,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,7364,8155,+,100.0,100.0
seq_71,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1941,2798,-,100.0,100.0
seq_71,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,5151,5963,-,100.0,100.0
seq_71,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,6121,6978,-,100.0,100.0
seq_72,blaTEM-181,class A beta-lactamase TEM-181,2470,3327,-,100.0,100.0
seq_72,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,5614,6426,-,100.0,100.0
seq_72,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,12090,12947,+,100.0,100.0
seq_72,tet(C),tetracycline efflux MFS transporter Tet(C),14969,15865,-,100.0,75.51
seq_73,catA1,type A-1 chloramphenicol O-acetyltransferase,1239,1895,-,100.0,100.0
seq_73,blaTEM,TEM family class A beta-lactamase,4495,5352,-,98.95,100.0
seq_74,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1330,2187,+,100.0,100.0
seq_74,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,6904,7716,-,100.0,100.0
seq_75,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1887,2744,-,100.0,100.0
seq_75,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,5450,6307,-,100.0,100.0
seq_76,catA1,type A-1 chloramphenicol O-acetyltransferase,1354,2010,+,100.0,100.0
seq_76,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,3428,4285,+,100.0,100.0
seq_76,tet(C),tetracycline efflux MFS transporter Tet(C),6307,6927,-,100.0,52.27
seq_78,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,4554,5366,-,100.0,100.0
seq_79,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2173,3030,-,100.0,100.0
seq_80,ble-Sh,phleomycin/bleomycin binding protein Ble-Sh,4640,5011,+,100.0,100.0
seq_80,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,6478,7335,-,100.0,100.0
seq_85,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,3681,4472,-,100.0,100.0
seq_86,blaTEM-181,class A beta-lactamase TEM-181,1491,2348,+,100.0,100.0
seq_88,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,904,1761,+,100.0,100.0
seq_88,tet(C),tetracycline efflux MFS transporter Tet(C),3783,4403,-,100.0,52.27
seq_89,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,1922,2713,-,100.0,100.0
seq_9,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2405,3262,-,100.0,100.0
seq_9,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,5222,6079,+,100.0,100.0
seq_91,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1870,2682,-,100.0,100.0
seq_96,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1393,2205,-,100.0,100.0
seq_96,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,7210,8022,-,100.0,100.0
seq_98,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,3347,4204,-,100.0,100.0
seq_99,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1967,2779,-,100.0,100.0
seq_99,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,7500,8312,-,100.0,100.0
seq_99,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,12755,13567,-,100.0,100.0
