sequence,symbol,name,start,end,strand,pct_identity,pct_cov
seq_80,blaTEM-171,class A beta-lactamase TEM-171,1983,2840,+,100.0,100.0
seq_81,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1674,2531,+,100.0,100.0
seq_83,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,1292,2083,+,100.0,100.0
seq_83,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,3310,4122,-,100.0,100.0
seq_83,catA1,type A-1 chloramphenicol O-acetyltransferase,5389,6045,+,100.0,100.0
seq_83,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,7442,8299,-,100.0,100.0
seq_84,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,904,1761,+,100.0,100.0
seq_84,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,4417,5205,-,100.0,100.0
seq_85,aph(4)-Ia,aminoglycoside O-phosphotransferase APH(4)-Ia,975,1751,-,100.0,75.95
seq_85,catA1,type A-1 chloramphenicol O-acetyltransferase,5750,6406,-,100.0,100.0
seq_86,blaTEM-171,class A beta-lactamase TEM-171,1734,2591,+,100.0,100.0
seq_86,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,7542,8354,-,100.0,100.0
seq_87,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,1947,2738,-,100.0,100.0
seq_89,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,4066,4878,-,99.63,100.0
seq_9,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2426,3283,-,100.0,100.0
seq_91,blaTEM-171,class A beta-lactamase TEM-171,1920,2777,+,100.0,100.0
seq_93,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1333,2190,-,100.0,100.0
seq_98,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1498,2355,-,100.0,100.0
seq_99,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,6207,7064,+,100.0,100.0
